"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,2,3,4,5,6,7,8,9,10
1,11,32,33,34,35,36,37,38,76
1,12,26,39,45,51,57,63,69,77
1,14,27,40,50,52,60,67,72,81
1,15,29,42,48,55,62,64,71,79
1,16,31,41,49,53,59,68,70,82
1,17,30,43,47,54,58,65,74,78
1,13,28,44,46,56,61,66,73,80
1,18,19,20,21,22,23,24,25,75
2,11,25,39,40,41,42,43,44,84
2,12,24,38,50,56,62,68,74,90
2,13,19,33,45,52,58,64,70,85
2,14,20,34,46,51,59,65,71,86
2,15,21,35,47,53,57,66,72,87
2,16,22,36,48,54,60,63,73,88
2,17,23,37,49,55,61,67,69,89
2,18,26,27,28,29,30,31,32,83
3,11,12,13,14,15,16,17,75,83
3,18,45,46,47,48,49,50,76,84
3,22,26,37,44,52,62,65,82,87
3,23,27,35,39,56,59,64,78,88
3,21,28,36,40,51,58,68,79,89
3,19,29,34,41,54,57,67,80,90
3,20,30,38,42,53,61,63,81,85
3,24,31,33,43,55,60,66,77,86
10,12,25,31,34,47,52,61,79,88
5,16,25,26,35,46,55,58,81,90
6,17,25,27,36,45,53,62,80,86
7,13,25,29,38,49,51,60,78,87
8,14,25,30,33,48,56,57,82,89
9,15,25,28,37,50,54,59,77,85
9,12,18,35,42,60,65,70,80,89
10,15,18,38,39,58,67,73,82,86
6,13,18,37,43,57,68,71,81,88
7,17,18,33,44,59,63,72,79,90
8,16,18,34,40,62,66,69,78,85
5,14,18,36,41,61,64,74,77,87
8,12,21,32,44,49,54,64,81,86
7,14,22,32,39,47,55,68,80,85
9,16,20,32,43,45,56,67,79,87
5,17,19,32,42,50,51,66,82,88
6,15,24,32,41,46,52,63,78,89
10,13,23,32,40,48,53,65,77,90
4,12,23,29,36,43,46,72,82,85
4,15,20,26,33,40,49,74,80,88
4,17,24,28,34,39,48,70,81,87
4,14,21,31,37,42,45,73,78,90
4,13,22,30,35,41,50,69,79,86
4,16,19,27,38,44,47,71,77,89
9,11,19,26,48,61,68,72,78,86
10,11,22,29,45,59,66,74,81,89
5,11,24,27,49,57,65,73,79,85
8,11,23,31,50,58,63,71,80,87
6,11,20,28,47,60,64,69,82,90
7,11,21,30,46,62,67,70,77,88
5,12,22,28,33,53,67,71,78,84
6,14,23,26,38,54,66,70,79,84
10,16,24,30,37,51,64,72,80,84
9,13,21,27,34,55,63,74,82,84
7,15,19,31,36,56,65,69,81,84
8,17,20,29,35,52,68,73,77,84
6,12,19,30,40,55,59,73,76,87
10,17,21,26,41,56,60,71,76,85
5,13,20,31,39,54,62,72,76,89
8,15,22,27,43,51,61,70,76,90
7,16,23,28,42,52,57,74,76,86
9,14,24,29,44,53,58,69,76,88
4,32,57,58,59,60,61,62,75,84
7,26,34,43,50,53,64,73,75,89
9,30,36,39,49,52,66,71,75,90
8,28,38,41,45,55,65,72,75,88
6,31,35,44,48,51,67,74,75,85
5,29,37,40,47,56,63,70,75,86
10,27,33,42,46,54,68,69,75,87
4,25,63,64,65,66,67,68,76,83
8,19,37,39,46,53,60,74,79,83
7,24,35,40,45,54,61,71,82,83
9,23,33,41,47,51,62,73,81,83
10,20,36,44,50,55,57,70,78,83
5,21,38,43,48,52,59,69,80,83
6,22,34,42,49,56,58,72,77,83
1,83,84,85,86,87,88,89,90,91
2,75,76,77,78,79,80,81,82,91
3,25,32,69,70,71,72,73,74,91
4,11,18,51,52,53,54,55,56,91
7,12,20,27,37,41,48,58,66,91
8,13,24,26,36,42,47,59,67,91
6,16,21,29,33,39,50,61,65,91
5,15,23,30,34,44,45,60,68,91
9,17,22,31,38,40,46,57,64,91
10,14,19,28,35,43,49,62,63,91
