"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,2,3,4,5,6,7,8,9,82
10,11,12,13,14,15,16,17,18,82
19,20,21,22,23,24,25,26,27,82
28,29,30,31,32,33,34,35,36,82
37,38,39,40,41,42,43,44,45,82
46,47,48,49,50,51,52,53,54,82
55,56,57,58,59,60,61,62,63,82
64,65,66,67,68,69,70,71,72,82
73,74,75,76,77,78,79,80,81,82
1,10,19,28,37,46,55,64,73,83
2,11,20,29,38,47,56,65,74,83
3,12,21,30,39,48,57,66,75,83
4,13,22,31,40,49,58,67,76,83
5,14,23,32,41,50,59,68,77,83
6,15,24,33,42,51,60,69,78,83
7,16,25,34,43,52,61,70,79,83
8,17,26,35,44,53,62,71,80,83
9,18,27,36,45,54,63,72,81,83
1,11,21,31,41,51,61,71,81,84
2,12,19,32,42,49,62,72,79,84
3,10,20,33,40,50,63,70,80,84
4,14,24,34,44,54,55,65,75,84
5,15,22,35,45,52,56,66,73,84
6,13,23,36,43,53,57,64,74,84
7,17,27,28,38,48,58,68,78,84
8,18,25,29,39,46,59,69,76,84
9,16,26,30,37,47,60,67,77,84
1,12,20,34,45,53,58,69,77,85
2,10,21,35,43,54,59,67,78,85
3,11,19,36,44,52,60,68,76,85
4,15,23,28,39,47,61,72,80,85
5,13,24,29,37,48,62,70,81,85
6,14,22,30,38,46,63,71,79,85
7,18,26,31,42,50,55,66,74,85
8,16,27,32,40,51,56,64,75,85
9,17,25,33,41,49,57,65,73,85
1,13,25,35,42,47,63,68,75,86
2,14,26,36,40,48,61,69,73,86
3,15,27,34,41,46,62,67,74,86
4,16,19,29,45,50,57,71,78,86
5,17,20,30,43,51,55,72,76,86
6,18,21,28,44,49,56,70,77,86
7,10,22,32,39,53,60,65,81,86
8,11,23,33,37,54,58,66,79,86
9,12,24,31,38,52,59,64,80,86
1,14,27,29,43,49,60,66,80,87
2,15,25,30,44,50,58,64,81,87
3,13,26,28,45,51,59,65,79,87
4,17,21,32,37,52,63,69,74,87
5,18,19,33,38,53,61,67,75,87
6,16,20,31,39,54,62,68,73,87
7,11,24,35,40,46,57,72,77,87
8,12,22,36,41,47,55,70,78,87
9,10,23,34,42,48,56,71,76,87
1,15,26,32,38,54,57,70,76,88
2,13,27,33,39,52,55,71,77,88
3,14,25,31,37,53,56,72,78,88
4,18,20,35,41,48,60,64,79,88
5,16,21,36,42,46,58,65,80,88
6,17,19,34,40,47,59,66,81,88
7,12,23,29,44,51,63,67,73,88
8,10,24,30,45,49,61,68,74,88
9,11,22,28,43,50,62,69,75,88
1,16,22,33,44,48,59,72,74,89
2,17,23,31,45,46,60,70,75,89
3,18,24,32,43,47,58,71,73,89
4,10,25,36,38,51,62,66,77,89
5,11,26,34,39,49,63,64,78,89
6,12,27,35,37,50,61,65,76,89
7,13,19,30,41,54,56,69,80,89
8,14,20,28,42,52,57,67,81,89
9,15,21,29,40,53,55,68,79,89
1,17,24,36,39,50,56,67,79,90
2,18,22,34,37,51,57,68,80,90
3,16,23,35,38,49,55,69,81,90
4,11,27,30,42,53,59,70,73,90
5,12,25,28,40,54,60,71,74,90
6,10,26,29,41,52,58,72,75,90
7,14,21,33,45,47,62,64,76,90
8,15,19,31,43,48,63,65,77,90
9,13,20,32,44,46,61,66,78,90
1,18,23,30,40,52,62,65,78,91
2,16,24,28,41,53,63,66,76,91
3,17,22,29,42,54,61,64,77,91
4,12,26,33,43,46,56,68,81,91
5,10,27,31,44,47,57,69,79,91
6,11,25,32,45,48,55,67,80,91
7,15,20,36,37,49,59,71,75,91
8,13,21,34,38,50,60,72,73,91
9,14,19,35,39,51,58,70,74,91
82,83,84,85,86,87,88,89,90,91
